Hook_ID,Hook_Text,Primary_Tone,Psychology_Triggers,Niche_Categories,Hook_Structure,Target_Audience,Content_Format,Hook_Length,Uses_Variables,Category
HOOK_001,"This represents your X before, during, and after X",Transformational,Transformation/Aspiration,General/Universal,Before/After Comparison,Broad/General,General,50,No,EDUCATIONAL
HOOK_002,Here's exactly how much (insert action/item) you need to (insert result),Direct/Informative,"Clarity/Certainty, Transformation/Aspiration",General/Universal,Direct Statement,Broad/General,General,72,Yes,EDUCATIONAL
HOOK_003,Can you tell us how to (insert result) in 60 seconds?,Curious/Question,"Clarity/Certainty, Quick Win/Instant Gratification, Transformation/Aspiration, Curiosity Gap",General/Universal,Question,Broad/General,General,53,Yes,EDUCATIONAL
HOOK_004,This is what (insert thing) looks like when you're (insert action). And this is what they look like when you're not (insert action).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,132,Yes,EDUCATIONAL
HOOK_005,"I'm going to tell you how to get (Insert result), (insert mind blowing method).",Direct/Informative,"Clarity/Certainty, Transformation/Aspiration",General/Universal,Direct Statement,Broad/General,General,79,Yes,EDUCATIONAL
HOOK_006,It took me 10 years to learn this but I'll teach it to you in less than 1 minute.,Instructional,"Quick Win/Instant Gratification, Transformation/Aspiration, Authority/Credibility",Skills/Education,Direct Statement,Broad/General,General,81,No,EDUCATIONAL
HOOK_007,When you get (insert item/result) here are the # things you got to do right away.,Urgent,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,81,Yes,EDUCATIONAL
HOOK_008,"If you don't have (insert item/action), do (insert item/action).",Direct/Informative,Fear of Loss/Avoidance,General/Universal,Conditional/If-Then,Broad/General,General,64,Yes,EDUCATIONAL
HOOK_009,My money rules as a (insert description) working towards financial independence.,Direct/Informative,Transformation/Aspiration,Finance/Money,Direct Statement,Variable/Customizable,General,80,Yes,EDUCATIONAL
HOOK_010,Money can buy you (insert item) but it can not buy you (insert result).,Direct/Informative,Transformation/Aspiration,Finance/Money,Direct Statement,Broad/General,General,71,Yes,EDUCATIONAL
HOOK_011,Here's how to develop a (insert skill) so strong that you physically can't stop (doing skill).,Direct/Informative,"Clarity/Certainty, Transformation/Aspiration",Skills/Education,Direct Statement,Broad/General,General,94,Yes,EDUCATIONAL
HOOK_012,This is what (insert #) of (insert item) looks like.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,52,Yes,EDUCATIONAL
HOOK_013,If you want to (insert dream result) by (insert avenue) then listen to this video.,Direct/Informative,Transformation/Aspiration,General/Universal,Conditional/If-Then,Broad/General,Video,82,Yes,EDUCATIONAL
HOOK_014,If you are (insert age group or range) do not do (insert action).,Direct/Informative,Identity/Belonging,Life Advice/Personal Development,Conditional/If-Then,Age-Specific,General,65,Yes,EDUCATIONAL
HOOK_015,As an (insert trait) responsible (insert age) year old with a goal to (insert goal) here are 3 things I will never regret doing.,Direct/Informative,"Fear of Loss/Avoidance, Transformation/Aspiration, Identity/Belonging",Life Advice/Personal Development,Direct Statement,Age-Specific,General,128,Yes,EDUCATIONAL
HOOK_016,"Not to flex, but I'm pretty f*cking good at (insert skill/niche).",Edgy/Provocative,"Transformation/Aspiration, Authority/Credibility",Skills/Education,Direct Statement,Broad/General,General,65,Yes,EDUCATIONAL
HOOK_017,This is what (insert object/item) looks like when you're using/doing (insert product/service).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,94,Yes,EDUCATIONAL
HOOK_018,Are you still (insert action)? I've got (insert result) in (insert time frame) and I have never (insert action).,Curious/Question,"Fear of Loss/Avoidance, Transformation/Aspiration, Curiosity Gap, Authority/Credibility",General/Universal,Question,Broad/General,General,112,Yes,EDUCATIONAL
HOOK_019,Youtube channels that will teach you more than any (insert industry/niche) degree.,Instructional,Education/Value,"Skills/Education, Business/Career",Direct Statement,Broad/General,YouTube,82,Yes,EDUCATIONAL
HOOK_020,I think I just found the biggest (insert niche/industry) cheat code.,Revealing/Insider,Curiosity/Forbidden Knowledge,Business/Career,Direct Statement,Broad/General,General,68,Yes,EDUCATIONAL
HOOK_021,Here are 3 people who will make you a better (insert title).,Direct/Informative,Status/Achievement,General/Universal,Direct Statement,Broad/General,General,60,Yes,EDUCATIONAL
HOOK_022,(insert trait) Guy vs (insert trait) Guy.,Comparative,Education/Value,General/Universal,Comparison,Variable/Customizable,General,41,Yes,EDUCATIONAL
HOOK_023,I see you doing nothing but (insert action) after (insert event) so follow this agenda to avoid that.,Transformational,"Fear of Loss/Avoidance, Transformation/Aspiration, Identity/Belonging",Life Advice/Personal Development,Direct Statement,Age-Specific,General,101,Yes,EDUCATIONAL
HOOK_024,Want to be the first (insert dream result) in your family?,Curious/Question,"Transformation/Aspiration, Curiosity Gap, Status/Achievement, Identity/Belonging",Lifestyle/Family,Question,Family-Oriented,General,58,Yes,EDUCATIONAL
HOOK_025,Here are some slightly unethical (insert industry/niche) hacks that you should know if you're (insert target audience).,Edgy/Provocative,Curiosity/Forbidden Knowledge,Business/Career,Conditional/If-Then,Variable/Customizable,General,119,Yes,EDUCATIONAL
